Cerros de Mavecure, Inidira, Guainia, 3.8666883, -67.9254218
La isla de los Micos, La Pedrera, Amazonas, -1.4530341, -70.4456992
Las gachas de Guadalupe, Guadalupe, Santander, 6.2163885, -73.416611
El salto del Tequendama, San Antonio del Tequendama, Cundinamarca, 4.5765907, -74.298621
Cayo Cangrejo, Providencia y Santa Catalina Islas, San Andres y Providencia, 13.3666658, -81.3675096
La Laguna de la Cocha, Pasto, Narinho, 1.0774794, -77.2206166
El Cabo de la Vela, Uribia, La Guajira, 12.1954962, -72.1559733
Isla Tintipán, Isla, Sucre, 9.7939097, -75.8518104
Santa Cruz del Islote, Isla, Sucre, 9.7858539, -75.8679218
Isla Tierra Bomba, Cartagena, Bolivar, 10.3498637, -75.6004483
Parque Ecológico Mundo Amazónico, Leticia, Amazonas, -4.1453356, -69.9320357
Puente colgante de Omagua, Leticia, Amazonas, -4.1264078, -69.9503079
Los Estoraques de Playa Belén, Playa de Belen, Norte de Santander, 8.2207533, -73.2405682
Páramo de Ocetá, Mongui, Boyaca, 5.718273, -72.8066549
Parque Natural Los Katíos, Unguia, Choco - Antioquia, 7.6667003, -77.0021885
Dunas de Taroa, Uribia, La Guajira, 12.4338872, -71.6109437
Salinas de Manaure, Manaure, La Guajira, 11.7727775, -72.4676726
Mina de sal de Nemocón, Nemocon, Cundinamarca, 5.0649834, -73.8782721
Serranía del Chiribiquete, Solano, Guaviare, 1.0655308, -73.1379118
Castillo de San Felipe, Cartagena, Bolivar, 10.4225271, -75.5414812
Teatro Adolfo Mejía, Cartagena, Bolivar, 10.426759, -75.553412
Casa del Marqués de Valdehoyos, Cartagena, Bolivar, 10.4254682, -75.5542571
Museo del Oro, Cartagena, Bolivar, 8.4448737, -74.9042854
Parque del Centenario, Cartagena, Bolivar, 10.422455, -75.5494712
Casa de la Cultura Horacio Rodríguez, Socorro, Santander, 6.469256, -73.2602786
Museo Arquidiocesano de Arte Religioso, Popayan, Cauca, 2.4417723, -76.6065908
Parque Cultural del Caribe, Barranquilla, Atlantico, 10.9863232, -74.7803614
Estadio Roberto Meléndez, Barranquilla, Atlantico, 10.9269769, -74.8027316
Cerro de Monserrate, Bogota, Cundinamarca, 4.6056941, -74.0642803
Cerro de Guadalupe, Bogota, Cundinamarca, 4.5919652, -74.0631988
Museo Nacional de Colombia, Bogota, Cundinamarca, 4.6154924, -74.0704757
Teatro Mayor Julio Mario Santo Domingo, Bogota, Cundinamarca, 4.756718, -74.0648556
Centro Cultural Gabriel García Márquez, Bogota, Cundinamarca, 4.5978205, -74.0762263
El planetario, Bogota, Cundinamaca, 4.6120462, -74.0709645
Museo El Castillo, Medellin, Antioquia, 6.1901037, -75.5716463
Plaza Bolívar, Bogota, Cundinamarca, 4.5981206, -74.0782322
Catedral Primada de Colombia, Bogota, Cundinamarca, 4.5980402, -74.0775325
Museo de los niños, Bogota, Cundinamarca, 4.6618656, -74.0911298
Museo de Botero, Bogota, Cundinamarca, 4.5968651, -74.0733026
Cristo Rey, Cali, Valle del Cauca, 3.4512145, -76.5540963
Santuario de las lajas, Ipiales, Nariño, 0.8054779, -77.5882746
Pueblito Paisa, Medellin, Antioquia, 6.2362646, -75.5825887
Parque Explora de Medellín, Medellin, Antioquia, 6.2362646, -75.5825887
Parque del café, Monenegro, Quindio, 4.6656867, -77.2233821
Barichara, Barichara, Santander, 6.6358495, -73.2277859
Paisaje Cultural Cafetero, La Tebaida, Armenia, 4.4846961, -75.7492221
Museo Internacional de la Esmeralda, Bogota, Cundinamarca, 4.6024175, -74.0746712
Parque Metropolitano Simón Bolívar, Bogota, Cundinamarca, 4.6586762, -74.0961491
Parque Jaime Duque, Tocancipa, Cundinamarca, 4.9468713, -73.9628775
Museo de Antioquia, Medellin, Antioquia, 6.252396, -75.5710995
Petroglifos del encanto, Florencia, Caqueta, 1.6228933, -75.6210439
Parque Arqueológico Nacional de Tierradentro, Belalcazar, Cauca, 2.5706299, -76.0385925
Cerro de las tres cruces, Cali, Valle del Cauca, 3.4678853, -76.5542328
Basilical del Señor de los Milagros, Guadalajara de Buga, Valle del Cauca, 3.9005132, -76.3043776
